Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 1 0 0 0 0 0 0 98 1 0 0 1910 2287 5 767 1 0.05 0.03 0.05 1 0 131754524 31370932 100383592 0 0 30036080 373796 18360 54232 379552 0 4194300 98012 4096288 0 0 48 0 0 13647296 1448 0 7067 10 0 0 0 180188 162 0 162 1448 0 1448 1 0 1
1 1 0 0 1 0 0 0 98 1 0 0 1710 3051 76 839 0 0.05 0.03 0.05 0 1 131754524 31381948 100372576 0 0 30039052 373796 22936 66608 918028 0 4194300 98012 4096288 0 0 52 0 0 13650268 3728 0 7263 37 0 0 0 180188 166 0 166 3712 0 3712 0 0 0
2 0 1 1 1 0 0 0 98 1 0 0 1508 1186 0 839 1 0.05 0.03 0.05 1 0 131754524 32219624 99534900 0 0 30042748 373796 23760 871692 2902296 0 4194300 98012 4096288 0 0 52 0 0 13653936 3248 0 64816 0 0 0 0 180188 136 0 136 3264 0 3264 0 0 0
3 0 2 1 0 0 0 0 98 2 0 0 1128 258 0 839 1 0.05 0.03 0.05 1 0 131754524 33085092 98669432 0 0 30043264 373796 23964 1762428 3761272 0 4194300 98012 4096288 0 0 72 0 0 13654412 0 0 35011 0 0 0 0 180188 0 0 0 0 0 0 0 0 0
4 0 2 0 0 0 0 0 98 2 0 0 1183 412 0 839 1 0.12 0.04 0.05 1 0 131754524 33085328 98669196 0 0 30043264 373796 23988 1762864 3761272 0 4194300 98012 4096288 0 0 72 0 0 13654412 0 0 8866 0 0 0 0 180188 0 0 0 0 0 0 0 0 0
5 0 2 0 0 0 0 0 98 2 0 0 1229 495 0 839 1 0.12 0.04 0.05 1 0 131754524 33085188 98669336 0 0 30043276 373572 23988 1762864 3761272 0 4194300 98012 4096288 0 0 84 0 0 13654412 0 0 11580 0 0 0 0 180188 0 0 0 0 0 0 0 0 0
6 0 2 0 0 0 0 0 98 2 0 0 1189 423 0 839 1 0.12 0.04 0.05 2 0 131754524 33085188 98669336 0 0 30043280 373572 23988 1762864 3761272 0 4194300 98012 4096288 0 0 88 0 0 13654412 0 0 9390 0 0 0 0 180188 0 0 0 0 0 0 0 0 0
7 0 2 0 0 0 0 0 98 2 0 0 1187 424 0 839 1 0.12 0.04 0.05 1 0 131754524 33105280 98649244 0 0 30043296 373572 23880 1787100 3781612 0 4194300 98012 4096288 0 0 104 0 0 13654324 0 0 12012 0 0 0 0 180188 0 0 0 0 0 0 0 0 0
8 0 2 0 0 0 0 0 98 2 0 0 1084 163 1 840 1 0.12 0.04 0.05 1 0 131754524 33105428 98649096 0 0 30043304 373584 23964 1787036 3781612 0 4194300 98012 4096288 0 0 108 0 0 13654336 0 11 23025 0 0 0 0 180192 0 1 1 0 11 11 0 0 0
9 0 2 0 0 0 0 0 98 2 0 0 1156 316 0 840 1 0.19 0.06 0.06 1 0 131754524 33105320 98649204 0 0 30043172 373584 24168 1787172 3781612 0 4194300 98012 4096288 0 0 108 0 0 13654444 0 0 24385 0 0 0 0 180192 0 0 0 0 0 0 0 0 0
10 0 1 1 0 0 0 0 98 2 0 0 1155 179 0 840 1 0.19 0.06 0.06 1 0 131754524 35377668 96376856 0 0 30043896 373584 24892 4013472 65217076 0 4194300 98012 4096288 0 0 108 0 0 13654928 676 0 1864 3 0 0 0 180192 27 0 27 676 0 676 0 0 0
11 0 0 2 0 0 0 0 98 2 0 0 1105 177 2 842 1 0.19 0.06 0.06 1 0 131754524 38861984 92892540 0 0 30043848 373584 24992 7591428 65219388 0 4194300 98012 4096288 0 0 108 0 0 13655120 0 0 1918 0 0 0 0 180192 0 0 0 0 0 0 0 0 0
12 0 0 2 0 0 0 0 98 2 0 0 1128 301 2 843 1 0.19 0.06 0.06 1 0 131754524 42348372 89406152 0 0 30043848 373584 25020 11069012 65219272 0 4194300 98012 4096288 0 0 108 0 0 13655120 0 26 2118 0 0 0 0 180192 0 1 1 0 26 26 0 0 0
13 0 0 2 0 0 0 0 98 2 0 0 1136 202 0 843 1 0.19 0.06 0.06 1 0 131754524 45836792 85917732 0 0 30043848 373584 25020 14548564 65219272 0 4194300 98012 4096288 0 0 108 0 0 13655120 0 0 1701 0 0 0 0 180192 0 0 0 0 0 0 0 0 0
14 0 0 2 0 0 0 0 98 2 0 0 1134 253 0 843 1 0.26 0.08 0.06 1 0 131754524 49323164 82431360 0 0 30043852 373584 25020 18030164 65219272 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1700 0 0 0 0 180192 0 0 0 0 0 0 0 0 0
15 0 0 2 0 0 0 0 98 2 0 0 1137 279 1 843 1 0.26 0.08 0.06 1 0 131754524 52811708 78942816 0 0 30043852 373584 25044 21509752 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 2018 0 0 0 0 180192 0 0 0 0 0 0 0 0 0
16 0 0 2 0 0 0 0 98 2 0 0 1081 148 0 843 1 0.26 0.08 0.06 2 0 131754524 56252528 75501996 0 0 30043852 373584 25044 24620664 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1702 0 0 0 0 180192 0 0 0 0 0 0 0 0 0
17 0 0 2 0 0 0 0 98 2 0 0 1157 242 0 843 1 0.26 0.08 0.06 1 0 131754524 59082176 72672348 0 0 30043852 373584 25044 27645560 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1381 0 0 0 0 180192 0 0 0 0 0 0 0 0 0
18 0 0 2 0 0 0 0 98 2 0 0 1145 348 1 843 1 0.26 0.08 0.06 1 0 131754524 61910048 69844476 0 0 30043852 373596 25028 30469680 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1682 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
19 0 0 2 0 0 0 0 98 2 0 0 1071 126 0 843 1 0.32 0.09 0.07 1 0 131754524 64739696 67014828 0 0 30043852 373596 25028 33291824 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1379 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
20 0 0 2 0 0 0 0 98 2 0 0 1074 122 0 843 1 0.32 0.09 0.07 1 0 131754524 67567560 64186964 0 0 30043852 373596 25028 36116100 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1380 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
21 0 0 2 0 0 0 0 98 2 0 0 1136 207 0 843 1 0.32 0.09 0.07 1 0 131754524 70130780 61623744 0 0 30043852 373596 25028 38626996 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 16069 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
22 0 0 2 0 0 0 0 98 2 0 0 1100 145 0 843 1 0.32 0.09 0.07 1 0 131754524 72794176 58960348 0 0 30043852 373596 25028 41496224 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1681 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
23 0 0 2 0 0 0 0 98 2 0 0 1093 134 0 843 1 0.32 0.09 0.07 1 0 131754524 75506928 56247596 0 0 30043852 373596 25028 44144244 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655116 0 43 1358 0 0 0 0 180196 0 8 8 0 43 43 0 0 0
24 0 0 2 0 0 0 0 98 2 0 0 1084 134 0 843 1 0.37 0.11 0.07 1 0 131754524 78169464 53585060 0 0 30043852 373596 25028 46857820 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655116 0 0 1298 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
25 0 0 2 0 0 0 0 98 2 0 0 1137 216 0 843 1 0.37 0.11 0.07 1 0 131754524 80747632 51006892 0 0 30043852 373596 25020 49135116 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655112 0 0 1258 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
26 0 0 2 0 0 0 0 98 2 0 0 1109 165 0 843 1 0.37 0.11 0.07 2 0 131754524 83360508 48394016 0 0 30043852 373596 25064 51711612 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655104 0 0 1343 0 0 0 0 180196 0 0 0 0 0 0 0 0 0
27 0 0 2 0 0 0 0 98 2 0 0 1083 141 0 843 1 0.37 0.11 0.07 1 0 131754524 85978328 45776196 0 0 30043852 373608 25064 54316604 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1276 0 0 0 0 180200 0 0 0 0 0 0 0 0 0
28 0 0 2 0 0 0 0 98 2 0 0 1079 131 0 843 1 0.37 0.11 0.07 1 0 131754524 88633504 43121020 0 0 30043852 373608 25064 57300472 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 1295 0 0 0 0 180200 0 0 0 0 0 0 0 0 0
29 0 0 2 0 0 0 0 98 2 0 0 1154 195 0 843 1 0.42 0.12 0.08 1 0 131754524 91301120 40453404 0 0 30043852 373608 25064 59956628 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655112 0 48 1303 0 0 0 0 180200 0 1 1 0 48 48 0 1 1
30 0 0 2 0 0 0 0 98 2 0 0 1112 151 0 843 1 0.42 0.12 0.08 1 0 131754524 94020160 37734364 0 0 30043852 373608 25064 62629212 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 4 1324 0 0 0 0 180200 0 1 1 0 4 4 0 0 0
31 0 2 0 0 0 0 0 98 2 0 0 1087 148 0 843 1 0.42 0.12 0.08 1 0 131754524 94661364 37093160 0 0 30043852 373608 25064 63109856 65219440 0 4194300 98012 4096288 0 0 112 0 0 13655120 0 0 2583 0 0 0 0 180200 0 0 0 0 0 0 0 0 0
32 0 2 0 0 0 0 0 98 2 0 0 1079 126 0 843 1 0.42 0.12 0.08 1 0 131754524 94661612 37092912 0 0 30043852 373608 25068 63222264 65219440 0 4194300 98012 4096288 0 0 60 0 0 13655120 0 0 1 0 0 0 0 180200 0 0 0 0 0 0 0 0 0
33 0 2 0 0 0 0 0 98 2 0 0 1133 190 0 843 1 0.42 0.12 0.08 1 0 131754524 94661612 37092912 0 0 30043852 373608 25068 63222264 65219440 0 4194300 98012 4096288 0 0 60 0 0 13655120 0 0 2 0 0 0 0 180200 0 0 0 0 0 0 0 0 0
34 0 34 1 10 0 0 0 55 35 0 0 49764 3699 0 843 64 5.35 1.15 0.41 64 0 131754524 95213500 36541024 0 0 30204112 373616 24844 63363596 65219440 0 4194300 98012 4096288 0 0 64 0 0 13811432 167020 0 42044 0 0 0 0 180200 696 0 696 167020 0 167020 0 0 0
35 0 100 0 0 0 0 0 0 100 0 0 49616 5334 0 843 63 5.35 1.15 0.41 63 1 131754524 95224076 36530448 0 0 30210628 373632 24892 63470792 65219440 0 4194300 98012 4096288 0 0 0 0 0 13818228 125812 68 793 0 0 0 0 180216 499 8 507 125300 68 125368 0 0 0
36 0 100 0 0 0 0 0 0 100 0 0 50005 5633 0 843 64 5.35 1.15 0.41 65 1 131754524 95240712 36513812 0 0 30228028 373536 24892 63616300 65219440 0 4194300 98012 4096288 0 0 0 0 0 13833232 194096 0 436 0 0 0 0 180216 778 0 778 194608 0 194608 0 0 0
37 0 100 0 0 0 0 0 0 100 0 0 49854 5542 0 843 62 5.35 1.15 0.41 62 2 131754524 95233524 36521000 0 0 30219604 373548 24892 63616300 65219440 0 4194300 98012 4096288 0 0 0 0 0 13824764 160456 0 307 0 0 0 0 180220 652 0 652 158408 0 158408 0 0 0
38 0 100 0 0 0 0 0 0 100 0 0 49951 5305 0 843 57 5.35 1.15 0.41 55 9 131754524 95222956 36531568 0 0 30212100 373556 24892 63616300 65219440 0 4194300 98012 4096288 0 0 0 0 0 13816552 173692 113 357 0 0 0 0 180220 693 27 720 170364 114 170478 0 0 0
39 0 100 0 0 0 0 0 0 100 0 0 49976 4828 0 843 56 10.05 2.19 0.75 57 8 131754524 95229452 36525072 0 0 30218952 373556 24892 63616304 65219440 0 4194300 98012 4096288 0 0 0 0 0 13821944 174444 0 312 0 0 0 0 180220 717 0 717 176020 0 176020 0 0 0
40 0 100 0 0 0 0 0 0 100 0 0 49881 4892 0 843 52 10.05 2.19 0.75 53 12 131754524 95218088 36536436 0 0 30210984 373556 24892 63616304 65219440 0 4194300 98012 4096288 0 0 0 0 0 13812676 160460 0 263 0 0 0 0 180220 651 0 651 159140 0 159140 0 0 0
41 0 100 0 0 0 0 0 0 100 0 0 55061 4651 0 843 57 10.05 2.19 0.75 57 7 131754524 95218904 36535620 0 0 30205104 373556 24892 63616304 65219440 0 4194300 98012 4096288 0 0 0 0 0 13811912 172032 0 325 0 0 0 0 180220 708 0 708 173568 0 173568 0 0 0
42 0 100 0 0 0 0 0 0 100 0 0 67133 4531 1 843 61 10.05 2.19 0.75 60 4 131754524 95222684 36531840 0 0 30208544 373572 24892 63616304 65219444 0 4194300 98012 4096288 0 0 0 0 0 13813424 165908 64 725 0 0 0 0 180220 697 6 703 167460 64 167524 0 2 2
43 0 100 0 0 0 0 0 0 100 0 0 54823 4637 0 843 58 10.05 2.19 0.75 57 7 131754524 95219088 36535436 0 0 30206132 373572 24892 63616304 65219444 0 4194300 98012 4096288 0 0 0 0 0 13810728 160248 0 374 0 0 0 0 180220 649 0 649 158976 0 158976 0 0 0
44 0 100 0 0 0 0 0 0 100 0 0 49776 4641 0 843 53 14.37 3.22 1.09 53 11 131754524 95205604 36548920 0 0 30190420 373572 24892 63616304 65219444 0 4194300 98012 4096288 0 0 0 0 0 13795108 143224 0 362 0 0 0 0 180220 576 0 576 140896 0 140896 0 0 0
45 0 100 0 0 0 0 0 0 100 0 0 60712 4290 0 843 53 14.37 3.22 1.09 52 13 131754524 95203432 36551092 0 0 30192792 373572 24892 63616304 65219444 0 4194300 98012 4096288 0 0 0 0 0 13795960 146424 0 323 0 0 0 0 180220 598 0 598 146200 0 146200 0 0 0
46 0 99 0 0 0 0 0 0 100 0 0 63227 4166 0 843 63 14.37 3.22 1.09 64 1 131754524 95217468 36537056 0 0 30203620 373576 24892 63616304 65219444 0 4194300 98012 4096288 0 0 0 0 0 13807484 148580 0 355 0 0 0 0 180224 632 0 632 153924 0 153924 0 0 0
47 0 97 0 3 0 0 0 0 97 0 0 48702 3441 0 843 59 14.37 3.22 1.09 58 6 131754524 95211248 36543276 0 0 30194000 373620 24892 63616304 65219444 0 4194300 98012 4096288 0 0 0 0 0 13800820 161816 0 350 0 0 0 0 180228 655 0 655 159512 0 159512 0 0 0
48 0 99 0 0 0 0 0 0 100 0 0 49643 4070 4 842 55 14.37 3.22 1.09 53 11 131754524 95207748 36546776 0 0 30190276 373620 24892 63616148 65218244 0 4194300 98012 4096288 0 0 4 0 0 13795320 149376 0 1386 0 0 0 0 180228 606 0 606 147240 0 147240 0 0 0
49 0 100 0 0 0 0 0 0 100 0 0 49824 3651 0 842 53 18.34 4.23 1.43 52 12 131754524 95202164 36552360 0 0 30179144 373620 24836 63616056 65218244 0 4194300 98012 4096288 0 0 4 0 0 13785748 148856 0 229 0 0 0 0 180228 616 0 616 148176 0 148176 0 0 0
50 0 87 0 12 0 0 0 1 87 0 0 44243 2603 0 842 33 18.34 4.23 1.43 33 30 131754524 95194368 36560156 0 0 30166648 373628 24836 63616056 65218244 0 4194300 98012 4096288 0 0 4 0 0 13773624 177664 0 353 0 0 0 0 180228 698 0 698 170124 0 170124 0 0 0
51 0 62 0 30 0 0 0 8 63 0 0 32878 2766 0 842 37 18.34 4.23 1.43 37 27 131754524 95200656 36553868 0 0 30166844 373660 24836 63614608 65218244 0 4194300 98012 4096288 0 0 4 0 0 13774544 205088 0 292 0 0 0 0 180228 853 0 853 207272 0 207272 0 0 0
52 0 94 0 6 0 0 0 1 94 0 0 46707 3544 0 842 59 18.34 4.23 1.43 59 5 131754524 95211320 36543204 0 0 30185344 373668 24836 63616300 65218244 0 4194300 98012 4096288 0 0 4 0 0 13790452 121384 0 78 0 0 0 0 180228 535 0 535 129812 0 129812 0 0 0
53 0 81 0 17 0 0 0 1 82 0 0 41501 2909 0 842 47 18.34 4.23 1.43 45 20 131754524 95203472 36551052 0 0 30176836 373676 24836 63616304 65218244 0 4194300 98012 4096288 0 0 4 0 0 13781652 177904 12 1 0 0 0 0 180228 694 2 696 171356 12 171368 0 0 0
54 0 99 0 1 0 0 0 0 99 0 0 49422 3760 0 842 56 22.00 5.22 1.76 56 8 131754524 95204852 36549672 0 0 30182944 373676 24836 63616304 65218244 0 4194300 98012 4096288 0 0 4 0 0 13788988 122888 0 7 0 0 0 0 180228 529 0 529 128280 0 128280 0 0 0
55 0 88 0 10 0 0 0 1 89 0 0 73375 2985 0 842 33 22.00 5.22 1.76 33 31 131754524 95182164 36572360 0 0 30156308 373684 24836 63616304 65218244 0 4194300 98012 4096288 0 0 4 0 0 13760612 163252 0 16373 0 0 0 0 180228 618 0 618 151792 0 151792 0 0 0
56 0 48 1 37 0 0 0 14 49 0 0 420931 2695 0 842 18 22.00 5.22 1.76 18 47 131754524 95196212 36558312 0 0 30154900 373692 24836 63616300 65218244 0 4194300 98012 4096288 0 0 4 0 0 13760660 190308 0 64397 0 0 0 0 180228 759 0 759 185808 0 185808 0 0 0
57 0 45 0 36 0 0 0 18 45 0 0 62115 2787 0 842 17 22.00 5.22 1.76 18 46 131754524 95177740 36576784 0 0 30137076 373648 24836 63616304 65218244 0 4194300 98012 4096288 0 0 4 0 0 13743372 173600 0 6742 0 0 0 0 180232 708 0 708 170708 0 170708 0 0 0
58 0 57 0 31 0 0 0 11 58 0 0 30170 2530 0 842 31 22.00 5.22 1.76 31 33 131754524 95191376 36563148 0 0 30156060 373648 24836 63616304 65218244 0 4194300 98012 4096288 0 0 4 0 0 13760332 167968 0 562 0 0 0 0 180232 728 0 728 175696 0 175696 0 0 0
59 0 40 0 44 0 0 0 15 41 0 0 21962 2718 0 842 26 25.36 6.19 2.10 26 38 131754524 95202568 36551956 0 0 30166896 373648 24836 63616304 65218244 0 4194300 98012 4096288 0 0 4 0 0 13769252 187064 0 416 0 0 0 0 180232 763 0 763 185656 0 185656 0 0 0
60 0 73 0 22 0 0 0 5 73 0 0 37505 2484 1 842 34 25.36 6.19 2.10 34 30 131754524 95200684 36553840 0 0 30164892 373648 24836 63616312 65218236 0 4194300 98012 4096288 0 0 4 0 0 13770388 164836 0 1844 0 0 0 0 180232 692 0 692 166960 0 166960 0 0 0
61 0 46 0 41 0 0 0 13 46 0 0 24631 2715 0 842 31 25.36 6.19 2.10 32 32 131754524 95205872 36548652 0 0 30172640 373648 24836 63600376 65218236 0 4194300 98012 4096288 0 0 4 0 0 13779060 183280 0 1087 0 0 0 0 180232 749 0 749 182192 0 182192 0 0 0
62 0 66 0 28 0 0 0 6 67 0 0 34555 3031 1 839 15 25.36 6.19 2.10 14 50 131754524 95178624 36575900 0 0 30139548 373672 24832 63614400 65212224 0 4194300 97984 4096316 32768 0 4 0 0 13747556 178296 26 2447 1 0 0 0 180256 706 3 709 171100 26 171126 7 1 8
63 0 43 0 38 0 0 0 18 44 0 0 23351 2561 0 839 28 25.36 6.19 2.10 28 36 131754524 95198060 36556464 0 0 30164740 373672 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13768580 180200 0 497 0 0 0 0 180256 761 0 761 185748 0 185748 0 0 0
64 0 46 0 40 0 0 0 14 47 0 0 24832 2767 0 839 14 28.62 7.19 2.44 15 49 131754524 95176868 36577656 0 0 30145748 373672 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13750152 188040 0 1042 0 0 0 0 180256 738 0 738 181240 0 181240 0 0 0
65 0 40 0 41 0 0 0 19 41 0 0 21715 2475 0 839 29 28.62 7.19 2.44 30 34 131754524 95199588 36554936 0 0 30170892 373644 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13774504 166952 0 1056 0 0 0 0 180260 718 0 718 175416 0 175416 0 0 0
66 0 49 0 40 0 0 0 11 49 0 0 26273 2687 0 839 20 28.62 7.19 2.44 21 44 131754524 95188516 36566008 0 0 30156504 373644 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13760872 178720 0 556 0 0 0 0 180260 711 0 711 173680 0 173680 0 0 0
67 0 43 0 41 0 0 0 16 43 0 0 23047 2639 0 839 20 28.62 7.19 2.44 21 43 131754524 95183192 36571332 0 0 30156848 373684 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13761764 181116 0 838 0 0 0 0 180268 744 0 744 180416 0 180416 0 0 0
68 0 35 0 46 0 0 0 19 35 0 0 19001 2591 0 839 28 28.62 7.19 2.44 28 37 131754524 95202236 36552288 0 0 30180892 373716 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13784176 180056 66 345 0 0 0 0 180268 756 10 766 184240 66 184306 0 4 4
69 0 62 0 29 0 0 0 9 62 0 0 32371 2580 0 839 17 31.45 8.13 2.77 18 47 131754524 95181948 36572576 0 0 30151736 373720 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13755012 172828 0 300 0 0 0 0 180272 696 0 696 168024 0 168024 0 0 0
70 0 53 0 32 0 0 0 15 53 0 0 27697 2301 0 839 48 31.45 8.13 2.77 47 17 131754524 95211292 36543232 0 0 30187356 373736 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13791116 163652 0 647 0 0 0 0 180272 733 0 733 176852 0 176852 0 0 0
71 0 57 0 34 0 0 0 8 58 0 0 113473 2581 0 839 18 31.45 8.13 2.77 18 47 131754524 95193116 36561408 0 0 30158828 373736 24852 63612364 65212224 0 4194300 97984 4096316 0 0 16 0 0 13766172 180344 0 25971 0 0 0 0 180272 678 0 678 166780 0 166780 0 0 0
72 0 45 1 40 0 0 0 14 46 0 0 192073 2481 0 839 17 31.45 8.13 2.77 17 47 131754524 95193240 36561284 0 0 30161404 373736 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13763268 175840 3 59563 0 0 0 0 180272 726 1 727 175584 3 175587 0 0 0
73 0 40 0 39 0 0 0 21 40 0 0 26762 2672 0 839 24 31.45 8.13 2.77 21 43 131754524 95197816 36556708 0 0 30163460 373704 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13770396 182916 0 1973 0 0 0 0 180272 765 0 765 185896 0 185896 0 0 0
74 0 40 0 41 0 0 0 18 41 0 0 25911 2430 0 839 38 34.06 9.06 3.10 37 27 131754524 95219064 36535460 0 0 30189704 373724 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13794096 174844 0 708 0 0 0 0 180276 748 0 748 181628 0 181628 0 0 0
75 0 45 0 44 0 0 0 11 46 0 0 24304 2563 0 839 16 34.06 9.06 3.10 16 48 131754524 95196012 36558512 0 0 30166512 373748 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13767880 181620 0 428 0 0 0 0 180276 703 0 703 172560 0 172560 0 0 0
76 0 46 0 37 0 0 0 16 47 0 0 24842 2382 0 839 22 34.06 9.06 3.10 23 42 131754524 95194000 36560524 0 0 30162648 373752 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13769444 176128 0 427 0 0 0 0 180280 734 0 734 177776 0 177776 0 0 0
77 0 33 0 45 0 0 0 21 33 0 0 18103 2601 0 839 19 34.06 9.06 3.10 19 45 131754524 95202432 36552092 0 0 30173480 373812 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13777920 185604 0 344 0 0 0 0 180284 748 0 748 182800 0 182800 0 0 0
78 0 41 0 41 0 0 0 17 42 0 0 26437 2607 0 839 26 34.06 9.06 3.10 26 38 131754524 95204812 36549712 0 0 30177420 373812 24852 63614536 65212224 0 4194300 97984 4096316 0 0 16 0 0 13783336 179864 4 566 0 0 0 0 180284 761 1 762 184468 4 184472 0 0 0
79 0 43 0 41 0 0 0 16 43 0 0 22947 2415 0 839 26 36.37 9.95 3.42 27 37 131754524 95203708 36550816 0 0 30172860 373812 24852 63614536 65212224 0 4194300 97984 4096316 0 0 12 0 0 13778252 176204 0 313 0 0 0 0 180284 729 0 729 177244 0 177244 0 0 0
80 0 38 0 39 0 0 0 23 38 0 0 22109 2512 0 839 22 36.37 9.95 3.42 23 41 131754524 95194068 36560456 0 0 30167480 373816 24852 63614536 65212224 0 4194300 97984 4096316 0 0 12 0 0 13771948 181868 0 559 0 0 0 0 180288 740 0 740 180552 0 180552 0 0 0
81 0 41 0 36 0 0 0 24 41 0 0 21714 2395 1 840 32 36.37 9.95 3.42 32 32 131754524 95209120 36545404 0 0 30185620 373832 24852 63614536 65214276 0 4194300 97984 4096316 0 0 12 0 0 13789804 175360 0 313 0 0 0 0 180288 732 0 732 178416 0 178416 0 0 0
82 0 39 0 47 0 0 0 14 39 0 0 21028 2591 0 840 22 36.37 9.95 3.42 22 42 131754524 95203288 36551236 0 0 30183432 373856 24852 63614544 65214276 0 4194300 97984 4096316 0 0 12 0 0 13786164 188912 0 632 0 0 0 0 180288 756 0 756 184748 0 184748 0 0 0
83 0 38 0 43 0 0 0 19 38 0 0 20892 2746 0 840 18 36.37 9.95 3.42 16 48 131754524 95187712 36566812 0 0 30168940 373864 24852 63614572 65214276 0 4194300 97984 4096316 0 0 12 0 0 13774860 184228 51 1026 0 0 0 0 180296 755 11 766 182100 51 182151 0 3 3
84 0 49 0 35 0 0 0 16 49 0 0 25910 2528 0 840 11 38.67 10.87 3.75 11 53 131754524 95177536 36576988 0 0 30156344 373872 24852 63614572 65214276 0 4194300 97984 4096316 0 0 12 0 0 13762484 174400 0 936 0 0 0 0 180296 717 0 717 173196 0 173196 0 0 0
85 0 48 0 32 0 0 0 20 49 0 0 25490 2476 0 840 26 38.67 10.87 3.75 26 38 131754524 95197224 36557300 0 0 30174708 373876 24852 63614572 65214276 0 4194300 97984 4096316 0 0 12 0 0 13782728 176080 0 844 0 0 0 0 180300 748 0 748 180612 0 180612 0 0 0
86 0 40 0 42 0 0 0 19 40 0 0 21758 2699 0 840 14 38.67 10.87 3.75 14 51 131754524 95181512 36573012 0 0 30164764 373884 24852 63614572 65214276 0 4194300 97984 4096316 0 0 12 0 0 13769936 185696 0 571 0 0 0 0 180300 739 0 739 179788 0 179788 0 0 0
87 0 38 0 42 0 0 0 20 38 0 0 20888 2670 2 842 21 38.67 10.87 3.75 20 44 131754524 95184976 36569548 0 0 30164112 373936 24852 63615296 65218000 0 4194300 97984 4096316 0 0 12 0 0 13771008 181904 0 2607 0 0 0 0 180304 762 0 762 184348 0 184348 0 0 0
88 0 51 0 28 0 0 0 21 51 0 0 27175 2737 0 842 21 38.67 10.87 3.75 22 42 131754524 95191332 36563192 0 0 30168880 373936 24852 63615488 65218000 0 4194300 97984 4096316 0 0 12 0 0 13776324 185452 0 1420 0 0 0 0 180304 771 0 771 186820 0 186820 0 0 0
